file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\endpoint\web\servlet\AbstractWebMvcEndpointHandlerMapping.java,org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$InvalidEndpointBadRequestException,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\r2dbc\MultipleConnectionPoolConfigurationsFailureAnalyzerTests.java,org.springframework.boot.autoconfigure.r2dbc.MultipleConnectionPoolConfigurationsFailureAnalyzerTests,class,3,3,0,3,2,1,0,4,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\web\servlet\MockServletWebServerFactory.java,org.springframework.boot.autoconfigure.web.servlet.MockServletWebServerFactory$MockServletWebServer,innerclass,4,4,0,4,2,2,0,3,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\amqp\RabbitStreamConfigurationTests.java,org.springframework.boot.autoconfigure.amqp.RabbitStreamConfigurationTests,class,21,21,0,21,19,1,0,36,39,0.36842105,0.3859649,0.3859649,19,0,0,0,0,19,19,0,0,0,1,0,0,1,0,0,1,0,0,178,0,0,0,0,0,48,3,19,0,31,1,0,5,14,79,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\orm\jpa\HibernateJpaAutoConfigurationTests.java,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests$TestHibernatePropertiesCustomizerConfiguration,innerclass,7,7,0,7,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,2,0,0,11,1,0,0,0,0,2,0,2,0,3,1,0,0,1,22,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\validation\ValidatorAdapterTests.java,org.springframework.boot.autoconfigure.validation.ValidatorAdapterTests$SampleData,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\data\ldap\LdapRepositoriesAutoConfiguration.java,org.springframework.boot.autoconfigure.data.ldap.LdapRepositoriesAutoConfiguration,class,8,8,0,8,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,1,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\pulsar\PulsarPropertiesTests.java,org.springframework.boot.autoconfigure.pulsar.PulsarPropertiesTests,class,3,14,11,3,1,1,0,2,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,0,0,1,0,0,0,0,0,0,11,0,22,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\endpoint\jmx\DefaultEndpointObjectNameFactoryTests.java,org.springframework.boot.actuate.autoconfigure.endpoint.jmx.DefaultEndpointObjectNameFactoryTests,class,7,8,1,7,10,1,0,22,26,0.75,0.06666667,0.06666667,9,0,0,3,0,6,6,0,0,0,4,0,0,4,0,0,3,0,1,56,2,0,0,1,0,25,0,13,1,13,1,0,0,0,41,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\jmx\ParentAwareNamingStrategyTests.java,org.springframework.boot.autoconfigure.jmx.ParentAwareNamingStrategyTests,class,7,7,0,7,4,1,0,13,0,0.0,1.0,1.0,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,1,0,0,48,0,0,0,0,0,24,0,11,3,17,1,0,1,6,39,0,0
